iter	Passed	Remaining
0	141	140938
1	147	73651
2	154	51422
3	160	40063
4	166	33213
5	173	28746
6	179	25458
7	184	22932
8	190	20926
9	195	19357
10	201	18080
11	205	16956
12	210	16004
13	215	15142
14	218	14354
15	221	13648
16	225	13011
17	228	12444
18	233	12072
19	237	11634
20	241	11254
21	244	10873
22	252	10711
23	255	10399
24	260	10140
25	266	9982
26	271	9770
27	274	9535
28	277	9307
29	282	9136
30	285	8929
31	288	8732
32	291	8555
33	297	8443
34	300	8285
35	303	8133
36	307	7998
37	313	7942
38	317	7822
39	320	7693
40	324	7580
41	332	7581
42	335	7471
43	339	7374
44	345	7325
45	348	7225
46	351	7124
47	354	7037
48	358	6966
49	362	6886
50	365	6807
51	369	6734
52	372	6654
53	378	6637
54	382	6563
55	385	6496
56	388	6435
57	394	6413
58	398	6349
59	401	6294
60	405	6240
61	410	6210
62	414	6157
63	417	6101
64	421	6056
65	425	6017
66	428	5966
67	431	5913
68	434	5860
69	439	5835
70	442	5796
71	446	5752
72	449	5708
73	454	5688
74	460	5674
75	463	5632
76	466	5590
77	471	5573
78	474	5534
79	477	5493
80	481	5457
81	486	5444
82	489	5409
83	492	5373
84	495	5336
85	500	5317
86	504	5298
87	507	5264
88	512	5250
89	519	5253
90	523	5225
91	526	5200
92	530	5175
93	535	5159
94	538	5129
95	541	5102
96	545	5077
97	550	5064
98	553	5037
99	556	5009
100	559	4982
101	566	4983
102	569	4961
103	572	4934
104	576	4909
105	582	4910
106	586	4891
107	589	4867
108	592	4842
109	597	4835
110	600	4812
111	603	4788
112	607	4767
113	613	4764
114	616	4743
115	619	4722
116	623	4708
117	630	4713
118	633	4692
119	637	4678
120	641	4658
121	646	4654
122	650	4634
123	654	4621
124	657	4605
125	662	4595
126	665	4575
127	669	4558
128	672	4539
129	678	4542
130	682	4524
131	685	4505
132	688	4486
133	693	4483
134	697	4466
135	700	4449
136	703	4432
137	708	4427
138	712	4411
139	717	4407
140	720	4392
141	726	4392
142	730	4375
143	733	4359
144	737	4348
145	742	4345
146	746	4331
147	749	4314
148	753	4302
149	758	4295
150	761	4279
151	764	4264
152	769	4259
153	772	4246
154	776	4231
155	779	4216
156	782	4201
157	789	4208
158	793	4195
159	796	4180
160	800	4170
161	806	4169
162	809	4155
163	812	4141
164	816	4131
165	820	4120
166	823	4106
167	826	4092
168	829	4079
169	834	4075
170	837	4061
171	840	4047
172	844	4036
173	850	4038
174	854	4027
175	857	4013
176	861	4003
177	867	4007
178	871	3997
179	875	3987
180	878	3974
181	883	3969
182	886	3957
183	889	3946
184	893	3935
185	898	3932
186	902	3921
187	906	3914
188	909	3902
189	915	3904
190	919	3892
191	922	3881
192	925	3869
193	930	3867
194	934	3858
195	937	3847
196	940	3835
197	946	3833
198	949	3822
199	952	3810
200	955	3799
201	962	3800
202	967	3797
203	969	3784
204	972	3772
205	978	3771
206	982	3762
207	985	3753
208	988	3742
209	994	3741
210	998	3732
211	1001	3722
212	1004	3711
213	1009	3708
214	1012	3697
215	1015	3686
216	1019	3678
